@relation LSA_titres-weka.filters.unsupervised.attribute.Remove-R45

@attribute lsa1 numeric
@attribute lsa2 numeric
@attribute lsa3 numeric
@attribute lsa4 numeric
@attribute lsa5 numeric
@attribute lsa6 numeric
@attribute lsa7 numeric
@attribute lsa8 numeric
@attribute lsa9 numeric
@attribute lsa10 numeric
@attribute lsa11 numeric
@attribute lsa12 numeric
@attribute lsa13 numeric
@attribute lsa14 numeric
@attribute lsa15 numeric
@attribute lsa16 numeric
@attribute lsa17 numeric
@attribute lsa18 numeric
@attribute lsa19 numeric
@attribute lsa20 numeric
@attribute lsa21 numeric
@attribute lsa22 numeric
@attribute lsa23 numeric
@attribute lsa24 numeric
@attribute lsa25 numeric
@attribute lsa26 numeric
@attribute lsa27 numeric
@attribute lsa28 numeric
@attribute lsa29 numeric
@attribute lsa30 numeric
@attribute lsa31 numeric
@attribute lsa32 numeric
@attribute lsa33 numeric
@attribute lsa34 numeric
@attribute lsa35 numeric
@attribute lsa36 numeric
@attribute lsa37 numeric
@attribute lsa38 numeric
@attribute lsa39 numeric
@attribute lsa40 numeric
@attribute lsa41 numeric
@attribute lsa42 numeric
@attribute lsa43 numeric
@attribute lsa44 numeric

@data
0.105133,-0.147154,-0.162247,0.029908,-0.025043,0.062957,-0.06803,-0.066451,0.087099,-0.048378,0.028472,0,-0.00509,0.007823,0.001526,0.003336,0,0,0.008045,0.008489,0.011593,-0.030813,-0.000674,0.005833,0,0,0,0,0,0,0,0,-0.009065,0.006208,0.036886,-0.039901,-0.00011,-0.012877,0.004298,-0.005789,0.019752,-0.07374,-0.060367,0.045476
0.092189,-0.053571,0.081172,-0.059727,0.002744,0.011419,-0.069298,0.003738,-0.002672,0.089983,-0.064707,0,0.113881,0.084852,-0.034719,-0.023306,-0.063108,-0.892198,-0.22983,0.277689,-0.041987,0.027893,-0.038142,0.022648,0,0,0,0,0,0,0,0,-0.000342,-0.040678,-0.044793,-0.031718,-0.005392,-0.000365,-0.007091,0.007676,-0.006821,-0.003914,0.001367,0.001189
0.092189,-0.053571,0.081172,-0.059727,0.002744,0.011419,-0.069298,0.003738,-0.002672,0.089983,-0.064707,0,0.113881,0.084852,-0.034719,-0.023306,0.514531,0.187771,-0.22983,0.277689,-0.041987,0.027893,-0.038142,0.022648,0,0,0,0,0,0,0,0,-0.000342,-0.040678,-0.044793,-0.031718,-0.005392,-0.000365,-0.007091,0.007676,-0.006821,-0.003914,0.001367,0.001189
0.106302,0.043493,0.01979,-0.013515,0.005066,-0.006716,-0.036841,0.003016,0.003035,0.022644,-0.009567,0,0.018636,0.015811,0.005428,-0.038013,0,0,0.012403,-0.042258,-0.035971,-0.052996,0.010387,0.017566,0,0,0,0,0,0,0,0,-0.067217,0.052708,0.041025,0.018669,0.007943,0.04482,0.011704,0.039477,0.014116,0.034691,-0.016543,0.000921
0.125821,0.15915,-0.037221,0.027,0.01754,-0.048199,-0.102485,0.015762,0.036823,0.071649,0.115798,0.408248,-0.04775,-0.105299,-0.18407,0.153907,0,0,-0.007744,0.028848,0.088601,0.076139,0.000872,-0.032562,0,0,0,0,0,0,0,0,0.053319,-0.013913,-0.000575,0.00839,-0.00024,-0.014412,0.000955,-0.015505,0.001678,-0.003521,0.001248,-0.000879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105133,-0.147154,-0.162247,0.029908,-0.025043,0.062957,-0.06803,-0.066451,0.087099,-0.048378,0.028472,0,-0.00509,0.007823,0.001526,0.003336,0,0,0.008045,0.008489,0.011593,-0.030813,-0.000674,0.005833,0,0,0,0,0,0,0,0,-0.009065,0.006208,0.036886,-0.039901,-0.00011,-0.012877,0.004298,-0.005789,0.019752,-0.07374,-0.060367,0.045476
0.124311,0.139281,-0.020423,-0.007798,0.055198,-0.094607,0.010588,-0.096451,0.074561,-0.070754,0.065624,0,-0.158529,0.281489,-0.035664,-0.101325,0,0,0.014949,-0.069086,-0.34373,0.19237,-0.024516,0.037953,0,0,0,0,0,0,0,0,-0.212684,-0.046112,-0.220834,0.253149,0.001039,-0.530284,0.051773,-0.295283,0.038414,0.001105,0.099648,0.32801
0.122189,0.135177,-0.027591,0.015,0.008347,-0.020473,-0.034866,0.004132,0.007314,0.008325,0.003879,0,0.001166,0.007211,0.019924,-0.075922,0,0,0.004879,-0.023874,-0.084708,-0.092659,-0.00119,0.051429,0,0,0,0,0,0,0,0,-0.134896,0.040343,0.001833,-0.031517,0.001108,0.088274,-0.006524,0.114029,-0.017834,0.040595,-0.01939,0.014684
0.125821,0.15915,-0.037221,0.027,0.01754,-0.048199,-0.102485,0.015762,0.036823,0.071649,0.115798,-0.408248,-0.04775,-0.105299,-0.18407,0.153907,0,0,-0.007744,0.028848,0.088601,0.076139,0.000872,-0.032562,0,0,0,0,0,0,0,0,0.053319,-0.013913,-0.000575,0.00839,-0.00024,-0.014412,0.000955,-0.015505,0.001678,-0.003521,0.001248,-0.000879
0.090415,-0.048191,0.067171,-0.04203,0.001785,0.00704,-0.038816,0.001899,-0.001245,0.036964,-0.023014,0,0.036106,0.02441,-0.009068,-0.000104,0,0,0.019926,-0.060642,0.012766,-0.013332,0.021963,-0.016298,0,0,0,0,0,0,0,0,0.000463,0.065074,0.080217,0.068855,0.014778,0.001367,0.029931,-0.035075,0.046065,0.028786,-0.013696,-0.012843
0.090415,-0.048191,0.067171,-0.04203,0.001785,0.00704,-0.038816,0.001899,-0.001245,0.036964,-0.023014,0,0.036106,0.02441,-0.009068,-0.000104,0,0,0.019926,-0.060642,0.012766,-0.013332,0.021963,-0.016298,0,0,0,0,0,0,0,0,0.000463,0.065074,0.080217,0.068855,0.014778,0.001367,0.029931,-0.035075,0.046065,0.028786,-0.013696,-0.012843
0.125821,0.15915,-0.037221,0.027,0.01754,-0.048199,-0.102485,0.015762,0.036823,0.071649,0.115798,-0.408248,-0.04775,-0.105299,-0.18407,0.153907,0,0,-0.007744,0.028848,0.088601,0.076139,0.000872,-0.032562,0,0,0,0,0,0,0,0,0.053319,-0.013913,-0.000575,0.00839,-0.00024,-0.014412,0.000955,-0.015505,0.001678,-0.003521,0.001248,-0.000879
0.090415,-0.048191,0.067171,-0.04203,0.001785,0.00704,-0.038816,0.001899,-0.001245,0.036964,-0.023014,0,0.036106,0.02441,-0.009068,-0.000104,0,0,0.019926,-0.060642,0.012766,-0.013332,0.021963,-0.016298,0,0,0,0,0,0,0,0,0.000463,0.065074,0.080217,0.068855,0.014778,0.001367,0.029931,-0.035075,0.046065,0.028786,-0.013696,-0.012843
0.096262,-0.057548,0.103526,-0.14609,0.212975,-0.292012,0.196081,-0.312504,0.17718,-0.197668,0.12603,0,-0.309136,0.488605,-0.114813,0.050291,0,0,0.003584,-0.005131,-0.053531,0.19333,-0.005089,-0.053626,0,0,0,0,0,0,0,0,0.146575,-0.020398,0.061264,-0.073598,-0.001076,0.269835,-0.029442,0.148298,-0.023904,-0.010559,-0.078047,-0.274895
0.127576,0.109478,-0.099015,0.024611,0.1798,-0.160755,0.132104,0.239639,-0.191483,0.105655,-0.045317,0,0.021517,-0.016932,0.017188,-0.074184,0,0,-0.002293,-0.034878,-0.117133,-0.028837,-0.002447,0.042336,0,0,0,0,0,0,0,0,-0.133745,0.062356,0.020071,-0.200268,-0.012385,-0.215609,0.006888,-0.056576,-0.018175,0.000092,-0.095187,-0.429115
0.123376,0.142323,-0.030195,0.017609,0.010114,-0.02533,-0.044696,0.00548,0.009979,0.011801,0.005723,0,0.001771,0.011201,0.031597,-0.151168,0,0,0.010685,-0.061089,-0.243427,-0.355006,-0.005609,0.366836,0,0,0,0,0,0,0,0,0.763594,-0.134535,-0.004637,0.053835,-0.001273,-0.064201,0.004051,-0.063892,0.0062,-0.012778,0.004299,-0.002997
0.093121,-0.057109,0.092692,-0.08835,-0.04544,-0.002677,-0.056105,0.234097,0.210104,-0.022107,-0.19666,0,-0.329738,-0.106581,0.047726,-0.180027,0,0,-0.274907,-0.302787,0.250055,0.112768,-0.625014,0.108874,0,0,0,0,0,0,0,0,0.013947,-0.031454,-0.092443,-0.044912,-0.007972,-0.008,-0.010808,0.000481,-0.025459,0.063622,-0.106057,0.025258
0.105133,-0.147154,-0.162247,0.029908,-0.025043,0.062957,-0.06803,-0.066451,0.087099,-0.048378,0.028472,0,-0.00509,0.007823,0.001526,0.003336,0,0,0.008045,0.008489,0.011593,-0.030813,-0.000674,0.005833,0,0,0,0,0,0,0,0,-0.009065,0.006208,0.036886,-0.039901,-0.00011,-0.012877,0.004298,-0.005789,0.019752,-0.07374,-0.060367,0.045476
0.125821,0.15915,-0.037221,0.027,0.01754,-0.048199,-0.102485,0.015762,0.036823,0.071649,0.115798,0.408248,-0.04775,-0.105299,-0.18407,0.153907,0,0,-0.007744,0.028848,0.088601,0.076139,0.000872,-0.032562,0,0,0,0,0,0,0,0,0.053319,-0.013913,-0.000575,0.00839,-0.00024,-0.014412,0.000955,-0.015505,0.001678,-0.003521,0.001248,-0.000879
0.095002,-0.063387,0.110525,-0.13596,-0.179433,-0.045321,0.0336,0.475887,0.370977,-0.156296,-0.145674,0,-0.411895,-0.154624,0.058288,-0.001407,0,0,0.007193,0.208088,-0.136181,-0.054898,0.428898,-0.072166,0,0,0,0,0,0,0,0,-0.016435,-0.011353,0.061153,0.018066,0.00378,0.012056,0.006011,0.011806,0.032467,-0.118904,0.195353,-0.044057
0.131149,0.143605,-0.06893,-0.020819,-0.457434,-0.154909,0.287256,-0.215488,-0.289408,0.129988,-0.139444,0,-0.136903,-0.06399,0.012478,-0.109833,0,0,-0.208335,-0.06435,0.068999,0.061331,0.097991,-0.035239,0,0,0,0,0,0,0,0,-0.058875,-0.371848,0.336083,0.111011,0.011062,0.005077,0.01421,-0.010001,0.063935,-0.269982,-0.159097,0.0546
0.095081,-0.067068,0.144931,0.228657,-0.002843,-0.0069,0.019079,-0.000476,0.000148,0.000251,-0.002369,0,0.005749,0.00483,-0.002089,-0.000052,0,0,0.011744,-0.04511,0.011051,-0.016176,0.033417,-0.038228,-0.173011,0.457366,-0.093468,0.125228,-0.101822,0.082998,0.16518,-0.066516,-0.000855,-0.06741,-0.058716,-0.022709,-0.293633,-0.000606,-0.010552,0.010835,-0.008273,-0.004652,0.001537,0.001325
