specimen,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20
456 NAZ2 3.tif,-0.057640576,-0.007997978,0.014132319,0.00798889,-0.031874793,-0.019398761,0.052165026,-0.000449152,0.008018361,-0.026784234,-0.003322325,-0.025946457,-0.001043428,0.020365157,0.010038987,0.019450303,-0.007344224,0.016921274,0.013260675,0.048843327
481 NAZ2 28.tif,-0.242567972,0.106950127,0.03226045,-0.013074051,-0.051369508,-0.009543235,0.011308279,-0.033142586,0.011059991,-0.014404064,0.002412424,-0.01697143,0.024219384,0.04525521,-0.027721723,0.011344879,0.041890804,-0.05114467,-0.013812151,0.015585277
494 NAZ2 41.tif,-0.185487907,0.010649934,0.034931169,-0.003893127,-0.104886411,0.045225726,0.042749591,0.033104641,0.002608232,-0.032253149,0.059529482,0.032656678,-0.024999959,0.034781492,-0.100360203,-0.035502648,-0.001187591,-0.049176338,-0.050374902,-0.007959006
495 NAZ2 42.tif,-0.076080177,-0.026595265,-0.021824322,0.016405163,-0.052505038,0.005119023,0.003665734,-0.019814909,-0.00588128,-0.00978115,0.051892517,0.006996653,0.012638822,-0.012947363,-0.018574396,-0.040993416,-0.000663556,-0.008545671,-0.026959115,0.022001744
497 NAZ2 44.tif,-0.184214498,-0.076324023,0.040340365,-0.041392488,-0.026161131,-0.06346572,-0.02973683,-0.02403969,-0.015668623,0.021787671,-0.035428586,-0.042083305,0.046079452,-0.084587676,0.047924395,0.040836961,0.004505216,-0.009341424,-0.070941912,-0.017385397
500 NAZ2 47.tif,-0.149216033,0.030044828,-0.012273358,-0.010772056,-0.031045722,-0.01708027,0.007728574,0.037454215,-0.00145562,0.042030069,-0.02299878,-0.023145059,-0.026721653,0.002881276,-0.021741524,0.012146773,0.001788525,-0.038143644,-0.021217199,-0.022606091
505 NAZ2 52.tif,-0.077307213,0.00520063,-0.061239736,0.061692013,-0.069985874,0.060593646,0.041689609,-0.014925784,-0.015394878,-0.00671865,-0.036494031,-0.051687491,-0.029418162,0.021690952,0.0297692,0.038916021,0.029893472,0.016575954,-0.03110172,0.021640683
507 NAZ2 54.tif,-0.154133333,0.054949318,-0.056386881,0.034789646,-0.040655493,0.033638751,0.01913229,0.009399543,-0.026162228,0.001725315,0.027044129,0.009416475,-0.032195617,0.034195474,-0.057164697,-0.043645456,0.004975113,-0.02457991,-0.003817804,-0.017384955
508 NAZ2 55.tif,-0.165058246,0.089368248,-0.032857338,0.068277254,-0.031585721,0.053223312,0.033407297,0.026813001,0.046979899,-0.007067447,0.032899447,0.021306338,0.031736613,-0.000693157,-0.001689769,-0.011499973,0.012648298,-0.001709693,0.038916203,0.016621521
516 NAZ2 63.tif,-0.103615211,0.091549328,0.018092573,-0.020933766,-0.053411243,0.017666128,0.030466765,-0.01530526,-0.031290522,0.030577437,-0.010953339,-0.058547833,-0.007826291,0.02074337,0.008751496,0.018579193,-0.005788622,0.010305201,-0.016597195,0.006747322
