Ref_Date,GEO,SECTORS,STATEMENT,Vector,Coordinate,Value
1991/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,70677.0
1991/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,77486.0
1991/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,75160.0
1991/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,78944.0
1992/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,77199.0
1992/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,78260.0
1992/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,76445.0
1992/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,79211.0
1993/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,77897.0
1993/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,76125.0
1993/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,80410.0
1993/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,83345.0
1994/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,78818.0
1994/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,80780.0
1994/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,86620.0
1994/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,86899.0
1995/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,83810.0
1995/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,86361.0
1995/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,90412.0
1995/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,90788.0
1996/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,87914.0
1996/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,90187.0
1996/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,94334.0
1996/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,95658.0
1997/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,92770.0
1997/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,98404.0
1997/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,100468.0
1997/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,102784.0
1998/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,97851.0
1998/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,103864.0
1998/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,102612.0
1998/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,105108.0
1999/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,101827.0
1999/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,109469.0
1999/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,111777.0
1999/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,113607.0
2000/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,112512.0
2000/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,121168.0
2000/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,122030.0
2000/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,121050.0
2001/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,118175.0
2001/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,124348.0
2001/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,116618.0
2001/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,116405.0
2002/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,114202.0
2002/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,120060.0
2002/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,120363.0
2002/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,123001.0
2003/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,122424.0
2003/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,123535.0
2003/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,127435.0
2003/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,127831.0
2004/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,128464.0
2004/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,131597.0
2004/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,135126.0
2004/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,134707.0
2005/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,137373.0
2005/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,140963.0
2005/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,142573.0
2005/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,144647.0
2006/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,147130.0
2006/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,150084.0
2006/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,150470.0
2006/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,153226.0
2007/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,153450.0
2007/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,159754.0
2007/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,157147.0
2007/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,157398.0
2008/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,158673.0
2008/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,162226.0
2008/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,163513.0
2008/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,156133.0
